(19940001, 201108),
(19940002, 201112),
(19940003, 201108),
(19940004, 201111),
(19940005, 201105),
(19940006, 201107),
(19940007, NULL),
(19940008, 201115),
(19940009, 201114),
(19940010, NULL),
(19940011, 201108),
(19940012, 201109),
(19940013, 201108),
(19940014, 201109),
(19940015, 201113),
(19940016, 201115),
(19940017, 201107),
(19940018, NULL),
(19940019, NULL),
(19940020, 201115),
(19940021, 201103),
(19940022, 201112),
(19940023, 201110),
(19940024, 201108),
(19940025, 201114),
(19940026, 201105),
(19940027, 201107),
(19940028, 201102),
(19940029, 201104),
(19940030, 201115),
(19940031, 201115),
(19940032, 201101),
(19940033, 201102),
(19940034, 201108),
(19940035, 201105),
(19940036, 201112),
(19940037, 201106),
(19940038, 201110),
(19940039, 201111),
(19940040, 201113),
(19940041, 201112),
(19940042, 201103),
(19940043, 201111),
(19940044, 201115),
(19940045, 201114),
(19940046, 201112),
(19940047, 201105),
(19940048, 201112),
(19940049, 201113),
(19940050, 201115),
(19940051, 201111),
(19940052, 201108),
(19940053, 201109),
(19940054, 201113),
(19940055, 201111),
(19940056, NULL),
(19940057, 201103),
(19940058, 201114),
(19940059, 201102),
(19940060, 201103),
(19940061, 201102),
(19940062, 201113),
(19940063, 201112),
(19940064, 201102),
(19940065, 201105),
(19940066, 201102),
(19940067, 201101),
(19940068, 201105),
(19940069, 201110),
(19940070, 201101),
(19940071, 201112),
(19940072, 201115),
(19940073, 201115),
(19940074, 201103),
(19940075, 201101),
(19940076, 201104),
(19940077, 201108),
(19940078, 201113),
(19940079, 201105),
(19940080, 201113),
(19940081, 201114),
(19940082, 201102),
(19940083, NULL),
(19940084, NULL),
(19940085, 201101),
(19940086, 201102),
(19940087, 201110),
(19940088, 201115),
(19940089, 201110),
(19940090, 201110),
(19940091, 201110),
(19940092, 201111),
(19940093, 201111),
(19940094, 201115),
(19940095, 201106),
(19940096, 201109),
(19940097, 201107),
(19940098, 201113),
(19940099, 201105),
(19940100, NULL),
(19940101, 201102),
(19940102, 201115),
(19940103, 201107),
(19940104, 201102),
(19940105, NULL),
(19940106, 201111),
(19940107, 201113),
(19940108, 201110),
(19940109, NULL),
(19940110, 201105),
(19940111, 201106),
(19940112, 201111),
(19940113, 201108),
(19940114, 201102),
(19940115, 201106),
(19940116, 201111),
(19940117, 201112),
(19940118, 201105),
(19940119, 201108),
(19940120, 201110),
(19940121, 201109),
(19940122, NULL),
(19940123, 201111),
(19940124, 201105),
(19940125, 201108),
(19940126, 201103),
(19940127, 201107),
(19940128, 201101),
(19940129, 201105),
(19940130, 201113),
(19940131, 201115),
(19940132, 201115),
(19940133, 201108),
(19940134, NULL),
(19940135, 201109),
(19940136, 201108),
(19940137, 201106),
(19940138, 201105),
(19940139, 201107),
(19940140, 201108),
(19940141, 201102),
(19940142, 201113),
(19940143, 201105),
(19940144, 201103),
(19940145, 201115),
(19940146, 201109),
(19940147, 201114),
(19940148, 201110),
(19940149, 201102),
(19940150, 201111),
(19940151, 201106),
(19940152, 201111),
(19940153, 201104),
(19940154, 201111),
(19940155, 201102),
(19940156, 201109),
(19940157, NULL),
(19940158, 201102),
(19940159, 201103),
(19940160, 201103),
(19940161, 201107),
(19940162, 201110),
(19940163, 201110),
(19940164, 201115),
(19940165, 201113),
(19940166, 201107),
(19940167, 201105),
(19940168, 201104),
(19940169, 201115),
(19940170, 201113),
(19940171, 201110),
(19940172, 201104),
(19940173, 201108),
(19940174, 201105),
(19940175, 201106),
(19940176, 201110),
(19940177, 201103),
(19940178, 201105),
(19940179, 201101),
(19940180, 201102),
(19940181, 201112),
(19940182, 201102),
(19940183, 201109),
(19940184, 201105),
(19940185, 201107),
(19940186, 201114),
(19940187, 201105),
(19940188, 201109),
(19940189, 201105),
(19940190, 201102),
(19940191, 201114),
(19940192, 201102),
(19940193, 201102),
(19940194, 201110),
(19940195, 201114),
(19940196, 201103),
(19940197, 201104),
(19940198, 201106),
(19940199, 201101),
(19940200, 201114),
(19940201, 201105),
(19940202, 201113),
(19940203, 201115),
(19940204, 201113),
(19940205, 201109),
(19940206, 201104),
(19940207, 201108),
(19940208, 201107),
(19940209, 201104),
(19940210, 201106),
(19940211, 201110),
(19940212, 201106),
(19940213, 201109),
(19940214, 201104),
(19940215, 201105),
(19940216, 201104),
(19940217, NULL),
(19940218, 201101),
(19940219, 201115),
(19940220, 201112),
(19940221, 201114),
(19940222, NULL),
(19940223, 201104),
(19940224, 201112),
(19940225, 201102),
(19940226, 201111),
(19940227, 201108),
(19940228, 201101),
